,city,Street,ZIP,LAT,LON
233644,SANTA ROSA,JEFFERSON ST & W 6TH ST,95401.0,38.43779184,-122.7238764
233645,SANTA ROSA,MEADOWMONT LN & MONTECITO AVE,95404.0,38.46730772,-122.6926432
233646,SANTA ROSA,LINCOLN ST & MORGAN ST,95401.0,38.44490192,-122.72260390000001
233647,SANTA ROSA,7TH ST & A ST,95401.0,38.4414495,-122.7190885
233648,SANTA ROSA,RUSCH CT & W 3RD ST,95401.0,38.4331949,-122.7341129
233649,SANTA ROSA,KENMORE LN & SEBASTOPOL RD,95407.0,38.42674234,-122.7430645
233650,SANTA ROSA,HEARN AVE & SANTA ROSA AVE,95407.0,38.41518155,-122.7135236
233651,SANTA ROSA,MAJOR DR & NORDYKE AVE,95403.0,38.463302299999995,-122.72369590000001
233652,SANTA ROSA,PARKER HILL RD & STAGECOACH RD,95404.0,38.48595775,-122.7074844
233653,SANTA ROSA,COBBLESTONE DR & SCRUB OAK AVE,95404.0,38.47311349,-122.706965
233654,SANTA ROSA,QUARRY POINTE & SLATE DR,95405.0,38.45402856,-122.6609199
233655,SANTA ROSA,LINCOLN ST & MORGAN ST,95401.0,38.44490192,-122.72260390000001
233656,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
233657,SANTA ROSA,BEAVER ST & MCCONNELL AVE,95404.0,38.45463396,-122.71176100000001
233658,SANTA ROSA,HAHMAN DR & SPRING CREEK DR,95405.0,38.44181503,-122.68520840000001
233659,SANTA ROSA,HWY 12 & MIDDLE RINCON RD,95409.0,38.46383244,-122.6649856
233660,SANTA ROSA,LOMITAS AVE & PLUM DR,95404.0,38.46578596,-122.7164578
233661,SANTA ROSA,BEAVER ST & CARR AVE,95404.0,38.45640045,-122.7116758
233662,SANTA ROSA,E JASMINE CIR & LAUREL GROVE CIR,95407.0,38.427652,-122.745051
233663,SANTA ROSA,MENDOCINO AVE & RUSSELL AVE,95403.0,38.46923636,-122.72199540000001
233664,SANTA ROSA,STONY CIR & STONY POINT RD,95401.0,38.4410492,-122.74599740000002
233665,SANTA ROSA,DUTTON AVE & N DUTTON AVE & W 3RD ST,95401.0,38.43412344,-122.72660729999998
233666,SANTA ROSA,CLEVELAND AVE & CODDINGTOWN,95401.0,38.45760065,-122.7266173
233667,SANTA ROSA,LINK LN & W COLLEGE AVE,95401.0,38.44563699,-122.7342003
233668,SANTA ROSA,CUMBERLAND ST & MOJAVE AVE,95407.0,38.40371518,-122.72749820000001
233669,SANTA ROSA,SAINT ANDREWS DR & SKYFARM DR,95403.0,38.50259291,-122.7223658
233670,SANTA ROSA,GUERNEVILLE RD & RIDLEY AVE,95401.0,38.45259224,-122.74625209999999
233671,SANTA ROSA,GREENEICH AVE & SHELLEY DR,95401.0,38.450451,-122.749801
233672,SANTA ROSA,BADGER RD & PETRIE LN,95409.0,38.4821631,-122.67562530000001
233673,SANTA ROSA,PARKER HILL CT & PARKER HILL RD,95404.0,38.47890816,-122.70487560000001
233674,SANTA ROSA,MIRAMONTE PL & MIRAMONTE WAY,95409.0,38.42578756,-122.58138999999998
233675,SANTA ROSA,CRESTVIEW DR & MILLER DR,95403.0,38.48207634,-122.74577790000001
233676,SANTA ROSA,BICENTENNIAL WAY & FOUNTAINGROVE PKWY,95403.0,38.47585804,-122.72166909999999
233677,SANTA ROSA,MENDOCINO AVE & SCHURMAN DR,95403.0,38.46311909,-122.7182737
233678,SANTA ROSA,RINALDO ST & SANTA TERESA AVE,95409.0,38.47478318,-122.65014939999999
233679,SANTA ROSA,SKYVIEW DR & STARVIEW DR,95403.0,38.48017046,-122.7422017
233680,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
233681,SANTA ROSA,PIONEER WAY & RED OAK CIR,95403.0,38.46808224,-122.7603815
233682,SANTA ROSA,HORIZON VIEW WAY & ROYAL MANOR PL,95404.0,38.48845213,-122.6997453
233683,SANTA ROSA,SHERIFFS DEPT EAST & SHERIFFS DEPT NORTH,95403.0,38.46852999,-122.7232521
233684,SANTA ROSA,ORCHARD BLOSSOM DR & PLUM TREE LN,95403.0,38.46983972,-122.75093770000001
233685,SANTA ROSA,HOPPER AVE & MOCHA LN,95403.0,38.47968961,-122.74867900000001
233686,SANTA ROSA,JENNINGS AVE & RANGE AVE,95401.0,38.452966499999995,-122.731721
233687,SANTA ROSA,MONTROSE CT & VISTAMONT CT,95409.0,38.48067516,-122.65671940000001
233688,SANTA ROSA,PARAMONT ST & SAHARA ST,95403.0,38.47344083,-122.7271309
233689,SANTA ROSA,BANYAN ST & PLANTAIN CT,95403.0,38.47384812,-122.7423256
233690,SANTA ROSA,BELLEVUE AVE & MOORLAND AVE,95407.0,38.40184435,-122.7185419
233691,SANTA ROSA,HADLEY HILL DR & SHILLINGFORD PL,95404.0,38.48328326,-122.6918929
233692,SANTA ROSA,CRESTVIEW DR & MILLER DR,95403.0,38.48207634,-122.74577790000001
233693,SANTA ROSA,AUTUMN LEAF DR & AUTUMN LEAF PL,95409.0,38.43727201,-122.58960309999999
233694,SANTA ROSA,DOGWOOD DR & PINYON ST,95403.0,38.47688832,-122.7457215
233695,SANTA ROSA,NEWGATE CT & WEDGEWOOD WAY,95404.0,38.49174443,-122.69946399999999
233696,SANTA ROSA,NEOTOMAS AVE & TACHEVAH DR,95405.0,38.43124619,-122.67322109999999
233697,SANTA ROSA,OAK VISTA CT & OAK VISTA PL,95409.0,38.42681644,-122.58402659999999
233698,SANTA ROSA,CAMPOY ST & SEBASTOPOL RD,95407.0,38.42519351,-122.7635252
233699,SANTA ROSA,FREDERICK ST & JENNINGS AVE,95401.0,38.44963917,-122.74879320000001
