,city,Street,ZIP,LAT,LON
241161,SANTA ROSA,BELLEVUE AVE & TERRIMAY LN,95407.0,38.40172352,-122.71088229999998
241162,SANTA ROSA,HILLARY CT & HOPPER AVE,95403.0,38.4796987,-122.7477757
241163,SANTA ROSA,STONY POINT RD & W 3RD ST,95401.0,38.43379484,-122.74240049999999
241164,SANTA ROSA,JENNINGS AVE & LANCE DR,95401.0,38.45126687,-122.7381591
241165,SANTA ROSA,3RD ST & TRACKS & W 3RD ST,95401.0,38.436027,-122.721355
241166,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
241167,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
241168,SANTA ROSA,CHESTNUT ST & HAZEL ST,95401.0,38.43379235,-122.72040009999999
241169,SANTA ROSA,MILICENT WAY & SANTA ROSA AVE,95407.0,38.42030020000001,-122.71351090000002
241170,SANTA ROSA,CHESTNUT ST & HAZEL ST,95401.0,38.43379235,-122.72040009999999
241171,SANTA ROSA,CALIFORNIA AVE & MONTGOMERY DR & ROSEDALE AVE,95405.0,38.44449001,-122.69554
241172,SANTA ROSA,FAIRWAY KNOLL LN & FIR RIDGE DR & THOMAS LAKE HARRIS DR,95403.0,38.49276084,-122.71116699999999
241173,SANTA ROSA,OLIVE ST & RAILROAD ST,95401.0,38.43466572,-122.71957340000002
241174,SANTA ROSA,VALLEY WEST CT & W 3RD ST,95401.0,38.43695573,-122.7583888
241175,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
241176,SANTA ROSA,FLOWER AVE & SANTA ROSA AVE,95404.0,38.42426474,-122.7135061
241177,SANTA ROSA,MADISON ST & W 6TH ST,95401.0,38.43719253,-122.7252341
241178,SANTA ROSA,KAREN WAY & VALLEJO ST,95404.0,38.4384119,-122.6968065
241179,SANTA ROSA,BLACKHAWK CIR & BRACKEN CT & SOUTHRIDGE DR,95403.0,38.49199636,-122.70650079999999
241180,SANTA ROSA,NORTH VILLAGE DR & SOPHIA DR,95403.0,38.47897983,-122.76920109999999
241181,SANTA ROSA,JANERO DR & MESA WAY,95407.0,38.42505828,-122.73786229999999
241182,SANTA ROSA,3RD ST & SANTA ROSA AVE,95404.0,38.43965855,-122.71341480000001
241183,SANTA ROSA,CHESTNUT ST & HAZEL ST,95401.0,38.43379235,-122.72040009999999
241184,SANTA ROSA,6TH ST & MORGAN ST & NB SR DOWNTOWN ONRAMP,95401.0,38.43992913,-122.7193773
241185,SANTA ROSA,BROOKWOOD AVE & SONOMA AVE,95404.0,38.44036347,-122.70283090000001
241186,SANTA ROSA,CHESTNUT ST & HAZEL ST,95401.0,38.43379235,-122.72040009999999
241187,SANTA ROSA,MONTGOMERY DR & SOTOYOME ST,95405.0,38.44285521,-122.7017068
241188,SANTA ROSA,KATHLEEN CT & SHARON CT,95409.0,38.46116557,-122.64943249999999
241189,SANTA ROSA,SPARROW CREEK ST & W COLLEGE AVE,95401.0,38.44521652,-122.74903090000001
241190,SANTA ROSA,CAMPOY ST & SEBASTOPOL RD,95407.0,38.42519351,-122.7635252
241191,SANTA ROSA,BOAS DR & HWY 12 & S BOAS DR,95409.0,38.46505683,-122.65784140000001
241192,SANTA ROSA,JEFFERSON ST & W 6TH ST,95401.0,38.43779184,-122.7238764
